Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
A,"Agilent Technologies, Inc.",,Health Care,11,114.96,0.73,0.79,0.21,4,0.84,0.194,1/3/22,1/26/22,112.64,179.57,42.97,9.04,5.40,27.18,4.65,18.95,In the Margin of Safety,-5,Blended,Declaration date,6,90.14,24.66,19.36,4.36,25.44,2.01,0.38,11.74,28.48,6.96,1.18,,Life Sciences Tools and Services
AAPL,Apple Inc.,,Information Technology,10,130.06,0.71,1.10,0.23,4,0.92,0.220,5/6/22,5/12/22,129.04,182.94,7.32,6.43,9.08,,43.80,55.74,At Fair Value,0,Blended,Ex-date,10,38.07,18.63,26.41,7.08,149.28,0.93,0.65,38.14,28.20,42.02,1.20,,"Technology Hardware, Storage and Peripherals"
ABBV,AbbVie Inc.,,Health Care,10,139.15,4.05,4.25,1.41,4,5.64,1.300,1/13/22,2/15/22,105.56,175.91,9.72,10.37,17.71,,56.79,32.84,At Fair Value,0,Blended,Ex-date,22,139.66,13.02,22.00,12.89,83.12,0.82,0.82,13.27,23.14,17.60,1.85,,Biotechnology
ABC,AmerisourceBergen Corporation,,Health Care,18,140.96,1.31,1.64,0.46,4,1.84,0.440,11/12/21,11/29/21,111.34,167.19,4.66,4.89,5.01,13.90,32.94,26.96,At Fair Value,0,Blended,Ex-date,6,0.00,17.01,0.76,16.10,432.37,0.93,0.90,23.36,18.64,58.87,1.99,,Healthcare Providers and Services
ABM,ABM Industries Incorporated,,Industrials,55,38.37,2.03,1.82,0.195,4,0.78,0.190,1/5/22,2/7/22,38.08,54.00,-38.51,-6.57,-2.87,0.18,-8.57,10.34,In the Margin of Safety,-28,Blended,Declaration date,-1,-32.81,20.53,2.06,0.09,8.90,1.18,0.44,8.87,22.43,1.94,3.66,,Commercial Services and Supplies
ABR,"Arbor Realty Trust, Inc.",,Financials,10,12.31,12.35,11.36,0.38,4,1.52,0.370,5/19/22,5/31/22,12.26,20.74,12.70,10.94,17.28,,15.93,19.88,In the Margin of Safety,-21,Blended,Ex-date,30,-13.46,12.49,50.94,3.89,16.96,3.80,0.83,,7.93,1.37,0.57,,Mortgage Real Estate Investment Trusts (REITs)
ABT,Abbott Laboratories,,Health Care,9,102.07,1.84,1.56,0.47,4,1.88,0.450,1/13/22,2/15/22,101.24,142.60,18.96,16.20,11.74,-0.54,0.26,15.76,At Fair Value,0,Blended,Ex-date,14,35.45,19.22,17.36,5.63,22.26,1.86,0.33,11.97,27.25,5.86,0.74,,Healthcare Equipment and Supplies
ACCO,ACCO Brands Corporation,,Industrials,5,6.45,4.65,2.97,0.075,4,0.30,0.065,11/23/21,12/15/21,6.41,9.76,7.70,5.28,,,-2.14,1.16,In the Margin of Safety,-82,Blended,Ex-date,,251.87,22.29,5.82,1.03,15.05,1.68,0.59,5.66,6.41,0.88,0.88,,Commercial Services and Supplies
ACN,Accenture plc,,Information Technology,11,270.9,1.43,1.63,0.97,4,3.88,0.880,10/13/21,11/15/21,268.17,417.37,10.12,9.87,9.88,12.65,23.48,26.01,At Fair Value,0,Blended,Fiscal year ex-date,11,17.47,24.13,11.28,11.88,32.43,1.24,0.15,22.79,31.34,9.74,2.99,,IT Services
ACNB,ACNB Corporation,,Financials,5,34.27,3.03,2.99,0.26,4,1.04,0.250,11/30/21,12/15/21,27.00,36.04,2.01,3.50,4.98,2.99,23.53,1.59,At Fair Value,0,Blended,Ex-date,8,-0.60,3.03,29.22,4.63,10.50,0.20,0.00,,11.29,1.19,1.00,,Banks
