Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
ABM,ABM Industries Incorporated,,Industrials,55,44.46,1.75,1.93,0.195,4,0.78,0.190,1/5/22,2/7/22,38.08,54.00,-38.30,-6.52,-2.85,0.18,-0.83,4.79,In the Margin of Safety,-13,Blended,Declaration date,-1,-32.81,20.53,2.06,0.09,8.90,1.18,0.44,8.87,22.43,1.94,3.66,,Commercial Services and Supplies
ADM,Archer-Daniels-Midland Company,,Consumer Staples,47,79.35,2.02,2.84,0.4,4,1.60,0.370,2/7/22,3/1/22,58.44,98.88,5.48,3.98,4.43,8.44,30.82,27.45,At Fair Value,0,Blended,Ex-date excl. specials,6,54.46,25.95,3.82,5.16,15.68,1.47,0.34,6.91,12.20,1.79,0.57,,Food Products
ADP,"Automatic Data Processing, Inc.",,Information Technology,47,239.48,1.74,1.99,1.04,4,4.16,0.930,12/9/21,1/1/22,192.26,248.96,9.46,9.80,12.58,10.12,7.76,10.66,At Fair Value,0,Blended,Ex-date,14,22.99,13.09,17.88,7.41,66.31,1.00,0.53,30.51,29.83,27.10,1.80,,IT Services
AFL,Aflac Incorporated,,Financials,40,56.42,2.84,2.44,0.4,4,1.60,0.330,2/15/22,3/1/22,51.28,67.20,19.68,11.27,11.43,8.52,5.69,2.88,In the Margin of Safety,-2,Blended,Ex-date excl. specials,14,-21.62,-5.89,18.90,7.45,13.19,0.65,0.26,7.99,10.52,1.41,0.72,,Insurance
ALB,Albemarle Corporation,,Materials,28,236.32,0.67,1.41,0.395,4,1.58,0.390,3/17/22,4/1/22,169.93,291.48,1.30,3.78,4.67,7.82,24.93,45.65,Above Fair Value,31,Blended,Ex-date,5,-28.67,12.65,7.76,3.36,6.08,1.12,0.31,5.66,91.93,4.45,-109.01,,Chemicals
ANDE,"The Andersons, Inc.",,Consumer Staples,26,35.2,2.05,2.64,0.18,4,0.72,0.175,12/31/21,1/21/22,25.78,59.00,27.15,9.66,6.99,9.08,10.82,9.64,In the Margin of Safety,-10,Blended,Ex-date,9,69.03,58.93,0.68,-20.36,10.27,1.29,0.62,3.26,17.85,1.56,0.64,,Food and Staples Retailing
AOS,A. O. Smith Corporation,,Industrials,29,60.99,1.84,1.67,0.28,4,1.12,0.260,10/28/21,11/15/21,51.91,86.74,7.85,9.41,16.17,21.27,-22.90,7.00,In the Margin of Safety,-21,Blended,Ex-date,18,21.11,19.56,13.43,3.21,28.67,1.76,0.16,20.46,16.50,4.76,1.54,,Building Products
APD,"Air Products and Chemicals, Inc.",,Materials,40,244.23,2.65,2.26,1.62,4,6.48,1.500,3/31/22,5/9/22,216.24,316.39,9.87,11.35,11.51,9.85,-14.39,4.32,In the Margin of Safety,-4,Blended,Ex-date,14,15.65,22.92,19.63,13.80,15.76,1.95,0.35,6.79,25.49,3.98,1.80,,Chemicals
AROW,Arrow Financial Corporation,,Financials,29,33.5,3.22,3.08,0.27,4,1.08,0.260,2/28/22,3/15/22,30.50,38.25,5.00,3.66,4.21,3.20,-6.04,3.28,At Fair Value,0,Blended,Ex-date excl. specials,7,-4.77,2.86,33.80,4.17,13.49,0.07,0.00,,10.66,1.43,0.94,,Banks
ARTN.A,Artesian Resources Corporation,,Utilities,30,51.69,2.11,2.56,0.273,4,1.09,0.268,5/6/22,5/23/22,36.55,52.22,4.31,3.32,3.20,3.29,37.06,12.71,Above Fair Value,7,Blended,Ex-date,5,0.24,3.96,18.52,3.50,9.71,0.31,0.49,5.14,26.71,2.54,5.76,,Water Utilities
ATO,Atmos Energy Corporation,,Utilities,38,119.93,2.27,2.26,0.68,4,2.72,0.625,11/26/21,12/13/21,85.80,122.96,8.78,8.97,8.53,6.85,19.72,4.51,At Fair Value,0,Blended,Ex-date,11,-1.89,19.84,18.91,7.19,8.64,1.10,0.47,3.42,21.99,1.85,2.55,,Gas Utilities
ATR,"AptarGroup, Inc.",,Materials,29,107.82,1.41,1.26,0.38,4,1.52,0.360,4/27/21,5/19/21,94.03,139.51,4.11,3.28,3.83,5.62,-25.79,-4.88,At Fair Value,0,Blended,Ex-date,5,-9.74,10.42,6.76,5.84,11.40,1.91,0.43,7.12,34.71,3.89,-299.54,,Containers and Packaging
AWR,American States Water Company,,Utilities,68,87.36,1.82,1.67,0.398,4,1.59,0.365,8/12/22,9/1/22,71.22,103.77,8.96,9.90,8.98,10.06,4.21,4.39,At Fair Value,0,Blended,Ex-date,11,-2.64,-1.19,18.20,3.50,13.36,0.82,0.49,6.84,36.94,4.79,5.06,,Water Utilities
BANF,BancFirst Corporation,,Financials,29,106.15,1.36,2.09,0.36,4,1.44,0.340,9/29/21,10/15/21,53.77,107.80,5.89,6.27,13.64,10.31,56.27,22.71,Above Fair Value,8,Blended,Ex-date,15,7.33,6.61,32.78,6.32,13.58,0.38,0.00,,19.86,2.69,1.51,,Banks
BDX,"Becton, Dickinson and Company",,Health Care,50,243.91,1.43,1.31,0.87,4,3.48,0.830,12/9/21,12/31/21,231.46,280.62,4.88,3.98,3.84,6.94,2.75,0.60,At Fair Value,0,Blended,Ex-date,5,12.60,6.21,9.60,10.64,7.79,1.53,0.44,4.29,41.60,3.10,55.42,,Healthcare Equipment and Supplies
BEN,"Franklin Resources, Inc.",,Financials,42,26.56,4.37,3.76,0.29,4,1.16,0.280,12/30/21,1/14/22,22.62,38.27,-16.67,4.43,8.08,12.53,-24.14,-8.61,In the Margin of Safety,-34,Blended,Ex-date excl. specials,12,39.06,7.15,20.26,2.37,12.22,3.83,0.25,8.00,6.92,1.48,3.75,,Capital Markets
BF.B,Brown-Forman Corporation,,Consumer Staples,38,73.61,1.02,1.12,0.189,4,0.75,0.180,12/2/21,12/28/21,60.23,75.46,4.52,4.34,5.36,7.39,-4.02,9.81,At Fair Value,0,Blended,Ex-date excl. specials,6,-7.27,13.64,21.31,1.96,31.08,3.66,0.47,14.91,38.54,11.81,7.94,,Beverages
BKH,Black Hills Corporation,,Utilities,52,76.41,3.11,3.20,0.595,4,2.38,0.565,11/16/21,12/1/21,61.95,80.95,5.39,5.70,6.32,4.81,14.68,0.91,At Fair Value,0,Blended,Ex-date,9,9.85,19.30,12.06,9.20,9.55,1.07,0.61,3.84,19.03,1.74,4.85,,Multi-Utilities
BMI,"Badger Meter, Inc.",,Information Technology,30,93.76,0.85,1.00,0.2,4,0.80,0.180,8/26/21,9/10/21,73.20,112.36,11.12,10.07,11.71,9.60,-16.87,11.72,At Fair Value,0,Blended,Ex-date,13,14.73,14.60,12.00,2.45,16.08,3.13,0.02,12.78,36.81,5.69,2.80,,"Electronic Equipment, Instruments and Components"
BRC,Brady Corporation,,Industrials,37,47.57,1.89,1.84,0.225,4,0.90,0.220,10/7/21,10/29/21,41.70,56.39,2.00,1.94,1.83,1.99,-14.21,0.34,In the Margin of Safety,-9,Blended,Ex-date,4,6.40,17.79,10.67,2.24,14.68,1.97,0.11,11.21,17.03,2.47,2.40,,Commercial Services and Supplies
BRO,"Brown & Brown, Inc.",,Financials,28,64.38,0.64,0.85,0.103,4,0.41,0.093,11/2/21,11/17/21,52.91,74.00,10.35,8.29,8.69,9.10,10.52,21.24,At Fair Value,0,Blended,Ex-date,9,7.94,13.82,18.87,3.22,14.92,1.84,0.51,7.72,26.88,3.85,1.49,,Insurance
CAH,"Cardinal Health, Inc.",,Health Care,27,58.88,3.37,3.76,0.496,4,1.98,0.491,6/30/22,7/15/22,45.85,64.53,1.01,1.01,1.70,8.36,-4.95,7.48,At Fair Value,0,Blended,Ex-date,5,0.00,12.96,-0.54,2.81,-173.30,1.08,1.15,16.16,-16.81,-22.21,0.00,,Healthcare Providers and Services
CAT,Caterpillar Inc.,,Industrials,29,187.84,2.56,2.50,1.2,4,4.80,1.110,7/19/22,8/19/22,167.08,237.90,7.77,8.88,7.59,9.21,-16.11,12.26,At Fair Value,0,Blended,Declaration date,10,90.10,22.50,12.34,10.32,38.56,1.45,0.69,9.39,18.56,6.97,0.00,,Machinery
CB,Chubb Limited,,Financials,29,185.38,1.79,2.06,0.83,4,3.32,0.800,6/16/22,7/8/22,168.04,218.99,2.87,3.19,3.05,9.62,25.76,12.37,At Fair Value,0,Blended,Declaration date,5,-7.95,4.85,17.51,25.17,12.83,0.39,0.26,5.47,11.75,1.61,1.50,,Insurance
CBSH,"Commerce Bancshares, Inc.",,Financials,54,69.16,1.53,1.56,0.265,4,1.06,0.263,3/7/22,3/23/22,62.63,74.72,5.33,7.65,8.66,6.45,-6.11,10.14,At Fair Value,0,Blended,Ex-date excl. specials,10,-13.10,-2.67,32.56,5.92,15.61,0.09,0.00,,16.98,2.97,1.39,,Banks
CBU,"Community Bank System, Inc.",,Financials,30,66.8,2.63,2.49,0.44,4,1.76,0.430,9/14/22,10/10/22,60.94,78.00,2.39,4.21,6.09,5.16,-14.23,1.21,At Fair Value,0,Blended,Ex-date,9,-7.62,2.94,27.63,3.21,9.45,0.02,0.00,,19.44,2.05,2.17,,Banks
