Symbol,Company,FV,Sector,No Years,Price,Div Yield,5Y Avg Yield,Current Div,Payouts/ Year,Annualized,Previous Div,Ex-Date,Pay-Date,Low,High,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y,TTR 1Y,TTR 3Y,Fair Value,FV %,,Streak Basis,Chowder Number,EPS 1Y,Revenue 1Y,NPM,CF/Share,ROE,Current R,Debt/Capital,ROTC,P/E,P/BV,PEG,New Member,Industry
ABM,ABM Industries Incorporated,,Industrials,55,46.06,1.69,1.93,0.195,4,0.78,0.190,1/5/22,2/7/22,38.08,54.00,-38.30,-6.52,-2.85,0.18,-0.83,4.79,In the Margin of Safety,-11,Blended,Declaration date,-1,-32.81,20.53,2.06,0.09,8.90,1.18,0.44,8.87,22.43,1.94,3.66,,Commercial Services and Supplies
ADM,Archer-Daniels-Midland Company,,Consumer Staples,47,90.29,1.77,2.84,0.4,4,1.60,0.370,2/7/22,3/1/22,58.60,98.88,5.48,3.98,4.43,8.44,30.82,27.45,Above Fair Value,1,Blended,Ex-date excl. specials,6,54.46,25.95,3.82,5.16,15.68,1.47,0.34,6.91,12.20,1.79,0.57,,Food Products
ADP,"Automatic Data Processing, Inc.",,Information Technology,47,241.94,1.72,1.99,1.04,4,4.16,0.930,12/9/21,1/1/22,192.26,261.59,9.46,9.80,12.58,10.12,7.76,10.66,At Fair Value,0,Blended,Ex-date,14,22.99,13.09,17.88,7.41,66.31,1.00,0.53,30.27,29.83,27.10,1.80,,IT Services
AFL,Aflac Incorporated,,Financials,40,61.67,2.59,2.44,0.4,4,1.60,0.330,2/15/22,3/1/22,51.28,67.20,19.68,11.27,11.43,8.52,5.69,2.88,At Fair Value,0,Blended,Ex-date excl. specials,14,-20.51,-7.25,20.37,6.87,14.47,0.76,0.30,8.42,8.34,1.34,0.57,,Insurance
ALB,Albemarle Corporation,,Materials,28,291.43,0.54,1.41,0.395,4,1.58,0.390,3/17/22,4/1/22,169.93,298.17,1.30,3.78,4.67,7.82,24.93,45.65,Above Fair Value,39,Blended,Ex-date,5,-64.58,34.16,6.09,0.16,5.66,1.89,0.37,7.32,92.81,4.03,-26.24,,Chemicals
ANDE,"The Andersons, Inc.",,Consumer Staples,26,34.49,2.09,2.64,0.18,4,0.72,0.175,12/31/21,1/21/22,28.13,59.00,27.15,9.66,6.99,9.08,10.82,9.64,In the Margin of Safety,-26,Blended,Ex-date,9,91.09,48.77,0.86,-15.72,14.13,1.39,0.57,4.66,8.31,0.96,0.00,,Food and Staples Retailing
AOS,A. O. Smith Corporation,,Industrials,29,56.85,1.97,1.67,0.28,4,1.12,0.260,10/28/21,11/15/21,51.91,86.74,7.85,9.41,16.17,21.27,-22.90,7.00,In the Margin of Safety,-27,Blended,Ex-date,18,19.85,19.56,13.43,3.17,28.67,1.76,0.16,20.01,16.67,4.72,1.59,,Building Products
APD,"Air Products and Chemicals, Inc.",,Materials,40,253.83,2.55,2.26,1.62,4,6.48,1.500,3/31/22,5/9/22,216.24,316.39,9.87,11.35,11.51,9.85,-14.39,4.32,In the Margin of Safety,-1,Blended,Ex-date,14,13.87,22.12,19.08,13.70,16.18,1.87,0.36,6.92,23.92,3.91,1.32,,Chemicals
AROW,Arrow Financial Corporation,,Financials,29,32.4,3.33,3.08,0.27,4,1.08,0.252,2/28/22,3/15/22,30.50,38.25,5.00,3.66,4.21,3.20,-6.04,3.28,In the Margin of Safety,-1,Blended,Ex-date excl. specials,8,-4.77,2.86,33.80,3.67,13.49,0.07,0.00,,10.66,1.43,0.94,,Banks
ARTN.A,Artesian Resources Corporation,,Utilities,30,53.48,2.04,2.56,0.273,4,1.09,0.268,5/6/22,5/23/22,36.55,60.36,4.31,3.32,3.20,3.29,37.06,12.71,Above Fair Value,8,Blended,Ex-date,5,3.82,5.97,18.59,3.31,10.01,0.51,0.51,5.17,26.26,2.57,5.29,,Water Utilities
ATO,Atmos Energy Corporation,,Utilities,38,117.95,2.31,2.26,0.68,4,2.72,0.625,11/26/21,12/13/21,85.80,122.96,8.78,8.97,8.53,6.85,19.72,4.51,At Fair Value,0,Blended,Ex-date,11,4.01,22.14,18.57,7.41,8.82,1.01,0.47,3.53,20.23,1.70,2.27,,Gas Utilities
ATR,"AptarGroup, Inc.",,Materials,29,104.89,1.45,1.26,0.38,4,1.52,0.360,4/27/21,5/19/21,94.03,135.81,4.11,3.28,3.83,5.62,-25.79,-4.88,In the Margin of Safety,-1,Blended,Ex-date,5,-10.61,7.52,6.94,5.56,11.72,1.90,0.42,7.36,29.35,3.49,614.51,,Containers and Packaging
AWR,American States Water Company,,Utilities,68,84.12,1.89,1.67,0.398,4,1.59,0.365,8/12/22,9/1/22,71.22,103.77,8.96,9.90,8.98,10.06,4.21,4.39,At Fair Value,0,Blended,Ex-date,11,-10.84,-3.74,17.05,3.56,12.17,0.40,0.50,6.53,36.55,4.34,9.82,,Water Utilities
BANF,BancFirst Corporation,,Financials,29,98.49,1.62,2.09,0.4,4,1.60,0.360,9/29/22,10/17/22,53.77,118.07,5.89,6.27,13.64,10.31,56.27,22.71,Above Fair Value,3,Blended,Ex-date,15,7.33,7.67,32.45,5.26,13.60,0.36,0.00,,19.86,2.65,1.51,,Banks
BDX,"Becton, Dickinson and Company",,Health Care,50,260.5,1.34,1.31,0.87,4,3.48,0.830,12/9/21,12/31/21,231.46,280.62,4.88,3.98,3.84,6.94,2.75,0.60,At Fair Value,0,Blended,Ex-date,5,30.14,5.30,8.75,9.16,8.02,1.35,0.40,4.76,37.03,2.76,2.74,,Healthcare Equipment and Supplies
BEN,"Franklin Resources, Inc.",,Financials,42,26.26,4.42,3.76,0.29,4,1.16,0.280,12/30/21,1/14/22,22.62,38.27,-16.67,4.43,8.08,12.53,-24.14,-8.61,In the Margin of Safety,-32,Blended,Ex-date excl. specials,13,39.48,7.15,20.26,3.27,14.25,4.38,0.23,7.81,6.90,1.01,3.62,,Capital Markets
BF.B,Brown-Forman Corporation,,Consumer Staples,38,72.77,1.04,1.12,0.189,4,0.75,0.180,12/2/21,12/28/21,60.23,78.15,4.52,4.34,5.36,7.39,-4.02,9.81,At Fair Value,0,Blended,Ex-date excl. specials,6,16.01,11.63,22.19,1.93,32.61,3.54,0.45,15.75,39.72,12.67,7.83,,Beverages
BKH,Black Hills Corporation,,Utilities,52,77.37,3.08,3.20,0.595,4,2.38,0.565,11/16/21,12/1/21,61.95,80.95,5.39,5.70,6.32,4.81,14.68,0.91,At Fair Value,0,Blended,Ex-date,9,10.67,21.86,11.88,9.79,9.74,0.97,0.60,3.90,17.55,1.65,8.21,,Multi-Utilities
BMI,"Badger Meter, Inc.",,Information Technology,30,96.49,0.93,1.00,0.225,4,0.90,0.200,8/25/22,9/9/22,73.20,112.36,11.12,10.07,11.71,9.60,-16.87,11.72,At Fair Value,0,Blended,Ex-date,13,14.73,14.60,12.00,2.45,16.08,3.13,0.02,12.78,36.81,5.69,2.80,,"Electronic Equipment, Instruments and Components"
BRC,Brady Corporation,,Industrials,37,43.76,2.10,1.84,0.23,4,0.92,0.225,10/6/22,10/28/22,41.70,55.95,2.00,1.94,1.83,1.99,-14.21,0.34,In the Margin of Safety,-22,Blended,Ex-date,4,0.00,20.42,11.52,2.31,16.01,1.96,0.13,11.56,16.47,2.63,1.76,,Commercial Services and Supplies
BRO,"Brown & Brown, Inc.",,Financials,28,65.55,0.63,0.85,0.103,4,0.41,0.093,11/2/21,11/17/21,52.91,74.00,10.35,8.29,8.69,9.10,10.52,21.24,Above Fair Value,1,Blended,Ex-date,9,7.94,13.82,18.87,3.22,14.92,1.84,0.51,7.72,26.88,3.85,1.49,,Insurance
CAH,"Cardinal Health, Inc.",,Health Care,27,70.63,2.81,3.76,0.496,4,1.98,0.491,6/30/22,7/15/22,45.85,72.28,1.01,1.01,1.70,8.36,-4.95,7.48,At Fair Value,0,Blended,Ex-date,5,0.00,11.64,-0.52,11.19,-171.33,1.08,1.14,15.24,-15.64,-20.13,0.00,,Healthcare Providers and Services
CAT,Caterpillar Inc.,,Industrials,29,183.15,2.62,2.50,1.2,4,4.80,1.110,7/19/22,8/19/22,167.08,237.90,7.77,8.88,7.59,9.21,-16.11,12.26,In the Margin of Safety,-1,Blended,Declaration date,10,56.34,17.74,12.51,10.62,41.42,1.45,0.71,9.67,14.21,6.01,0.11,,Machinery
